
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1181    0.0235   -0.0649    0.9933    0.1080    0.0400    3.9995    0.9991         0
         1         2    4.0000    1.2124    1.4432    0.1002   -0.0332    0.9994    0.0006    4.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2204    0.0093   -0.0997    0.9993   -0.0368    0.0001    4.0000    1.0000         0
         1         2    4.0000    1.3684    1.4797    0.0608    0.0226    0.9991    0.0365    3.9996    0.9992         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0343    0.2325   -0.0999    0.9904    0.1383   -0.0005    4.0000    0.9999         0
         1         2    4.0000    1.3879    1.4580    0.0364   -0.1007    0.9943    0.0365    4.0000    0.9999         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0473    0.2408   -0.0934    0.9787    0.2049   -0.0128    3.9998    0.9996         0
         1         2    4.0000    1.2560    1.4413   -0.0343   -0.1854    0.9820   -0.0364    3.9999    0.9998         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0251    0.1948   -0.0984    0.9535    0.3014   -0.0033    4.0000    1.0000         0
         1         2    4.0000    1.2354    1.5067    0.0055   -0.1789    0.9830    0.0416    3.9998    0.9997         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0625    0.2331   -0.0999    0.9521    0.3058    0.0011    4.0000    1.0000         0
         1         2    4.0000    1.2138    1.7090    0.0935   -0.2426    0.9701   -0.0008    4.0000    0.9999         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0232    0.2653   -0.1008    0.8985    0.4390    0.0037    4.0000    1.0000         0
         1         2    4.0000    1.2309    1.7862    0.0096   -0.3088    0.9503    0.0405    3.9999    0.9998         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0603    0.4419   -0.0996    0.9035    0.4286    0.0027    3.9998    0.9997         0
         1         2    4.0000    1.0925    1.7673    0.1003   -0.3395    0.9406   -0.0007    4.0000    1.0000         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0767    0.2545   -0.0764    0.9213    0.3881    0.0242    3.9997    0.9994         0
         1         2    4.0000    0.9435    1.8319    0.0851   -0.3571    0.9340    0.0150    3.9999    0.9998         0
% end

% time 2.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0747    0.2270   -0.0625    0.9437    0.3290    0.0341    3.9999    0.9999         0
         1         2    4.0000    1.1184    1.8285    0.1004   -0.4999    0.8661    0.0018    4.0000    0.9999         0
% end

% time 2.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0956    0.1318   -0.0907    0.9587    0.2843    0.0055    4.0000    0.9999         0
         1         2    4.0000    1.3137    1.7919    0.0376   -0.5516    0.8329   -0.0451    3.9998    0.9996         0
% end

% time 2.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0789    0.1482   -0.0461    0.9984    0.0539   -0.0162    3.9996    0.9993         0
         1         2    4.0000    1.2891    1.8129    0.0932   -0.4210    0.9071    0.0032    4.0000    1.0000         0
% end

% time 2.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2403    0.0812   -0.1000    0.9901   -0.1404   -0.0002    4.0000    1.0000         0
         1         2    4.0000    1.3588    1.8375    0.0678   -0.5816    0.8134    0.0149    4.0000    1.0000         0
% end

% time 2.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2525    0.0709   -0.1064    0.9911   -0.1325    0.0087    4.0000    0.9999         0
         1         2    4.0000    1.4422    1.8678   -0.0174   -0.6395    0.7671   -0.0512    3.9998    0.9996         0
% end

% time 3.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1847    0.1417   -0.0990    0.9869   -0.1616   -0.0011    4.0000    1.0000         0
         1         2    4.0000    1.4108    1.6422   -0.0020   -0.6627    0.7467   -0.0573    3.9999    0.9999         0
% end

% time 3.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
