
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1535   -0.0004    0.0540    0.9919    0.1158   -0.0516    3.9991    0.9982         0
         1         2    4.0000    1.6109    1.9507    0.1038   -0.0981    0.9952    0.0013    4.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1008   -0.0132   -0.0999    0.9885    0.1512    0.0005    4.0000    1.0000         0
         1         2    4.0000    1.6113    1.7654    0.0886    0.0959    0.9953    0.0095    4.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1691   -0.2883   -0.0995    0.9788    0.2047    0.0000    3.9999    0.9998         0
         1         2    4.0000    1.4924    1.8112    0.0724    0.1739    0.9847   -0.0083    3.9999    0.9999         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0518   -0.1910   -0.0101    0.9789    0.1963   -0.0570    3.9999    0.9998         0
         1         2    4.0000    1.3725    1.8635    0.0834    0.0346    0.9994    0.0084    4.0000    0.9999         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0966   -0.2612   -0.1028    0.9870    0.1608    0.0068    4.0000    0.9999         0
         1         2    4.0000    1.3439    2.0398   -0.0614   -0.0301    0.9994   -0.0144    4.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1587   -0.1153   -0.1005    0.9689    0.2473    0.0024    4.0000    1.0000         0
         1         2    4.0000    1.2618    2.0741   -0.0100    0.0019    0.9998   -0.0211    3.9999    0.9998         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2385   -0.1086   -0.0996    0.9761    0.2172   -0.0003    4.0000    0.9999         0
         1         2    4.0000    1.3320    2.1783    0.0355   -0.0006    1.0000    0.0092    4.0000    1.0000         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0785   -0.1543   -0.1006    0.9799    0.1996   -0.0007    4.0000    1.0000         0
         1         2    4.0000    1.2474    2.0616    0.0003    0.0430    0.9991    0.0051    4.0000    1.0000         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0812   -0.1264   -0.0999    0.9926    0.1212   -0.0002    4.0000    1.0000         0
