
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0410    0.0577   -0.0929    0.9972    0.0741    0.0048    3.9997    0.9995         0
         1         2    4.0000    1.4940    1.9356    0.0996   -0.1672    0.9859    0.0005    3.9999    0.9999         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0104    0.0914   -0.1001    0.9983    0.0582   -0.0002    3.9999    0.9997         0
         1         2    4.0000    1.1487    1.7141    0.0893   -0.2507    0.9680   -0.0113    3.9999    0.9999         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1286   -0.0386   -0.0974    0.9896    0.1435    0.0072    3.9999    0.9998         0
         1         2    4.0000    1.2573    1.7101   -0.0105   -0.2206    0.9742   -0.0480    4.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1339    0.0076   -0.1014    0.9583    0.2859   -0.0029    4.0000    1.0000         0
         1         2    4.0000    1.3603    1.8812    0.1036   -0.2213    0.9752   -0.0024    4.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0413    0.3007    0.0536    0.9915    0.1270   -0.0264    3.9999    0.9998         0
         1         2    4.0000    1.5464    2.0397    0.0828   -0.2646    0.9643   -0.0066    3.9999    0.9999         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2066    0.4721    0.0978    0.9690    0.2469    0.0059    3.9999    0.9997         0
         1         2    4.0000    1.8009    2.0835    0.0711   -0.2619    0.9648   -0.0232    3.9999    0.9999         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3267    0.4621    0.0998    0.9651    0.2618   -0.0002    4.0000    1.0000         0
         1         2    4.0000    1.8923    2.0430   -0.0996   -0.4086    0.9127   -0.0001    3.9999    0.9999         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3326    0.6768    0.0446    0.9802    0.1961    0.0265    4.0000    1.0000         0
         1         2    4.0000    2.0356    2.1761   -0.0930   -0.5118    0.8591    0.0027    3.9999    0.9998         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
