
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0441    0.2618    0.0378    0.9989    0.0104    0.0462    3.9996    0.9992         0
         1         2    4.0000   -0.4274    1.4250    0.0566    0.4532    0.8913   -0.0166    3.9999    0.9999         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1090    0.4031    0.0207    0.9988    0.0040    0.0480    3.9999    0.9999         0
         1         2    4.0000   -0.5165    1.4646    0.0999    0.4978    0.8673    0.0003    3.9999    0.9999         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0340    0.4046    0.0516    0.9992   -0.0211    0.0336    3.9999    0.9999         0
         1         2    4.0000   -0.4961    1.3011    0.1157    0.4764    0.8792    0.0000    3.9999    0.9997         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1619    0.4998   -0.0040    0.9940    0.1094   -0.0076    4.0000    1.0000         0
         1         2    4.0000   -0.5249    1.1083    0.1002    0.4116    0.9113    0.0001    3.9999    0.9999         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2843    0.4878   -0.1022    0.9605    0.2782   -0.0004    4.0000    0.9999         0
         1         2    4.0000   -0.6079    1.0594    0.0987    0.2773    0.9608    0.0001    4.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2995    0.4883   -0.1003    0.9807    0.1953    0.0000    4.0000    0.9999         0
         1         2    4.0000   -0.7287    1.0522    0.1062    0.3920    0.9200   -0.0035    4.0000    1.0000         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
