
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0344   -0.1940    0.0715    0.9979   -0.0563    0.0304    3.9996    0.9993         0
         1         2    4.0000    2.0664   -1.8969   -0.0995    0.4802    0.8772   -0.0011    4.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0329   -0.2082    0.0306    0.9989   -0.0022    0.0467    3.9999    0.9998         0
         1         2    4.0000    1.9826   -1.7932   -0.0998    0.3861    0.9225   -0.0003    4.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0866   -0.1562    0.0554    0.9803   -0.1965    0.0197    4.0000    1.0000         0
         1         2    4.0000    1.9856   -1.6894   -0.0520    0.3856    0.9223   -0.0249    4.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0338   -0.1476    0.1009    0.9385   -0.3452    0.0024    4.0000    1.0000         0
         1         2    4.0000    1.8859   -1.8234    0.0974    0.2803    0.9599    0.0068    3.9999    0.9998         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1609   -0.1088    0.0955    0.9200   -0.3919   -0.0043    4.0000    1.0000         0
         1         2    4.0000    1.9994   -1.9673    0.1001    0.2227    0.9749    0.0002    4.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2623    0.1006    0.0953    0.9506   -0.3103    0.0047    4.0000    1.0000         0
         1         2    4.0000    2.1248   -2.0408    0.0989    0.2353    0.9719    0.0019    4.0000    1.0000         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0477    0.1153    0.1006    0.9439   -0.3303    0.0011    4.0000    0.9999         0
         1         2    4.0000    2.0637   -2.0602    0.0440    0.1529    0.9875   -0.0379    3.9998    0.9997         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1207   -0.0745    0.0183    0.9435   -0.3278   -0.0476    3.9999    0.9997         0
         1         2    4.0000    2.2277   -2.1964    0.1005    0.1618    0.9868    0.0002    4.0000    1.0000         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0413    0.0919   -0.0128    0.9436   -0.3256    0.0601    4.0000    1.0000         0
         1         2    4.0000    2.2440   -2.2422    0.0943    0.1990    0.9800   -0.0063    4.0000    0.9999         0
% end

% time 2.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0011    0.0963    0.0185    0.9833   -0.1775    0.0403    4.0000    1.0000         0
         1         2    4.0000    2.1787   -2.1212    0.1005    0.3186    0.9479   -0.0031    4.0000    1.0000         0
% end

% time 2.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0030    0.1033    0.0149    0.9711   -0.2362   -0.0355    4.0000    0.9999         0
         1         2    4.0000    2.2310   -2.1837    0.0402    0.2749    0.9611   -0.0284    3.9999    0.9998         0
% end

% time 2.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0920    0.1864   -0.0395    0.9815   -0.1888    0.0328    3.9999    0.9999         0
         1         2    4.0000    2.2560   -2.2636    0.0999    0.1489    0.9889   -0.0000    4.0000    1.0000         0
% end

% time 2.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0204    0.2575   -0.1034    0.9867   -0.1628   -0.0005    4.0000    1.0000         0
         1         2    4.0000    2.3252   -2.4101    0.0228    0.2768    0.9606   -0.0233    4.0000    0.9999         0
% end

% time 2.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0996    0.1658   -0.0861    0.9564   -0.2915   -0.0175    3.9999    0.9998         0
         1         2    4.0000    2.3800   -2.3930    0.1008    0.1923    0.9813    0.0014    4.0000    1.0000         0
% end

% time 3.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0222    0.2125   -0.1000    0.9317   -0.3633   -0.0004    4.0000    1.0000         0
         1         2    4.0000    2.3722   -2.4621    0.0055    0.2073    0.9768   -0.0539    4.0000    1.0000         0
% end

% time 3.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0691    0.1598    0.0014    0.9369   -0.3464    0.0476    4.0000    1.0000         0
         1         2    4.0000    2.3065   -2.3483   -0.0705    0.2343    0.9720    0.0190    3.9999    0.9999         0
% end

% time 3.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0629    0.3418    0.1045    0.9597   -0.2809    0.0061    3.9999    0.9999         0
         1         2    4.0000    2.3560   -2.4906   -0.1000    0.4045    0.9145   -0.0001    4.0000    1.0000         0
% end

% time 3.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0161    0.2403    0.0552    0.9666   -0.2538    0.0357    3.9998    0.9996         0
         1         2    4.0000    2.4183   -2.4951    0.0575    0.3593    0.9330    0.0197    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0832    0.2515    0.0738    0.9799   -0.1993   -0.0102    4.0000    0.9999         0
         1         2    4.0000    2.5644   -2.3692    0.1005    0.2630    0.9648    0.0003    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0168    0.0783    0.0999    0.9600   -0.2800   -0.0001    4.0000    1.0000         0
         1         2    4.0000    2.4523   -2.4151    0.0318    0.2294    0.9723    0.0440    3.9998    0.9997         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0142    0.0678    0.0152    0.9165   -0.3999    0.0119    4.0000    0.9999         0
         1         2    4.0000    2.4188   -2.2948    0.0819    0.3252    0.9455    0.0176    3.9999    0.9998         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0230   -0.1305    0.0295    0.9584   -0.2818   -0.0455    3.9999    0.9999         0
