
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0943    0.1126    0.0657    0.9914    0.1265    0.0323    3.9998    0.9995         0
         1         2    4.0000    2.0934   -1.5178    0.0019    0.2522    0.9675   -0.0206    3.9999    0.9999         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1098    0.0318    0.0909    0.9996    0.0230    0.0167    4.0000    1.0000         0
         1         2    4.0000    2.1223   -1.4851   -0.1000    0.3327    0.9430    0.0000    4.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3196   -0.0343    0.0094    0.9892    0.1344    0.0589    4.0000    1.0000         0
         1         2    4.0000    2.1391   -1.5859    0.0938    0.2967    0.9549   -0.0101    3.9999    0.9999         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5057    0.0924   -0.0361    0.9951    0.0904    0.0409    3.9999    0.9999         0
         1         2    4.0000    2.2145   -1.4621    0.0740    0.2759    0.9610    0.0170    4.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3465    0.1787   -0.0953    0.9980   -0.0628   -0.0080    3.9999    0.9998         0
         1         2    4.0000    2.3261   -1.4438   -0.0316    0.3634    0.9306   -0.0446    4.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
