
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1350   -0.3498    0.0964    0.9935   -0.1127   -0.0157    3.9995    0.9993         0
         1         2    4.0000    0.3007    1.5179    0.0831   -0.9460    0.3237   -0.0164    3.9998    0.9997         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2252   -0.3782    0.0828    0.9950   -0.0994   -0.0121    4.0000    0.9999         0
         1         2    4.0000    0.2144    1.6585    0.0869   -0.9711    0.2385   -0.0098    4.0000    0.9999         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2263   -0.3088    0.1003    0.9627   -0.2707    0.0002    4.0000    1.0000         0
         1         2    4.0000    0.2956    1.7257   -0.0714   -0.9639    0.2651   -0.0234    3.9999    0.9998         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0154   -0.3117    0.0857    0.9834   -0.1802    0.0199    3.9998    0.9997         0
         1         2    4.0000    0.3429    1.8458   -0.0975   -0.9723    0.2336    0.0073    3.9998    0.9997         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1238   -0.3549    0.1000    0.9804   -0.1968   -0.0006    4.0000    0.9999         0
         1         2    4.0000    0.3181    1.8711   -0.0886   -0.9271    0.3746    0.0094    4.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2426   -0.3005   -0.0294    0.9596   -0.2796   -0.0303    4.0000    1.0000         0
         1         2    4.0000    0.2969    1.8395    0.0229   -0.9349    0.3505    0.0558    3.9997    0.9994         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1181   -0.2059   -0.0997    0.9630   -0.2693    0.0004    3.9999    0.9999         0
         1         2    4.0000    0.3583    1.8386    0.0096   -0.9011    0.4305    0.0510    3.9999    0.9997         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1449    0.0471    0.0124    0.9735   -0.2284   -0.0109    3.9999    0.9998         0
         1         2    4.0000    0.4169    1.7145    0.1000   -0.8533    0.5214   -0.0012    4.0000    1.0000         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3462    0.0339   -0.0016    0.9532   -0.2979   -0.0516    4.0000    1.0000         0
         1         2    4.0000    0.2452    1.8065    0.0665   -0.8424    0.5386   -0.0174    4.0000    1.0000         0
% end

% time 2.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4780    0.0984   -0.1002    0.9572   -0.2894    0.0004    4.0000    1.0000         0
         1         2    4.0000    0.3084    2.0030    0.0747   -0.8240    0.5666    0.0083    3.9999    0.9999         0
% end

% time 2.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6011    0.0507   -0.0999    0.9905   -0.1379   -0.0013    4.0000    0.9999         0
         1         2    4.0000    0.3342    2.1329   -0.1034   -0.7536    0.6573    0.0074    3.9999    0.9999         0
% end

% time 2.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5379    0.0051   -0.0972    0.9833   -0.1818   -0.0031    3.9999    0.9999         0
         1         2    4.0000    0.4313    2.2898   -0.0987   -0.8075    0.5899   -0.0041    3.9999    0.9998         0
% end

% time 2.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5666   -0.1367    0.0403    0.9950   -0.0912    0.0394    3.9999    0.9999         0
         1         2    4.0000    0.5233    2.2217   -0.1002   -0.8545    0.5195    0.0002    4.0000    1.0000         0
% end

% time 2.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
