
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0161    0.2336   -0.0395    0.9946    0.0911    0.0495    3.9995    0.9990         0
         1         2    4.0000   -3.2744   -0.4476    0.0999    0.6029    0.7978    0.0004    4.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1053    0.2307   -0.1028    0.9867    0.1624    0.0017    4.0000    1.0000         0
         1         2    4.0000   -3.3114   -0.6100   -0.0568    0.5618    0.8266    0.0333    3.9998    0.9997         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0885    0.2090   -0.1152    0.9870    0.1605   -0.0064    4.0000    1.0000         0
         1         2    4.0000   -3.4214   -0.6247   -0.0030    0.5111    0.8580    0.0506    4.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0336    0.3532    0.0215    0.9828    0.1795   -0.0438    4.0000    1.0000         0
         1         2    4.0000   -3.3323   -0.7305    0.1001    0.4081    0.9130    0.0000    4.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1025    0.4782    0.0231    0.9400    0.3375    0.0504    3.9997    0.9995         0
         1         2    4.0000   -3.2035   -0.5860    0.0094    0.3975    0.9176   -0.0070    3.9999    0.9999         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0876    0.3366    0.0619    0.9636    0.2666    0.0197    4.0000    1.0000         0
         1         2    4.0000   -3.1717   -0.6174    0.0055    0.3662    0.9293    0.0486    4.0000    1.0000         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1261    0.1986    0.1001    0.9754    0.2202    0.0005    4.0000    1.0000         0
         1         2    4.0000   -3.2891   -0.6619    0.0991    0.3638    0.9315   -0.0018    4.0000    1.0000         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1518    0.1669    0.0885    0.9872    0.1585   -0.0191    3.9999    0.9999         0
         1         2    4.0000   -3.3915   -0.5056    0.1020    0.3320    0.9433   -0.0003    3.9999    0.9999         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1112    0.0378    0.0571    0.9850    0.1715    0.0200    4.0000    0.9999         0
         1         2    4.0000   -3.3161   -0.4137    0.0206    0.2676    0.9626    0.0425    4.0000    1.0000         0
% end

% time 2.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0610   -0.1557   -0.0964    0.9783    0.2071   -0.0024    4.0000    1.0000         0
         1         2    4.0000   -3.1073   -0.6349    0.0067    0.3219    0.9467   -0.0076    4.0000    0.9999         0
% end

% time 2.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0906   -0.1862   -0.1001    0.9869    0.1611   -0.0001    4.0000    1.0000         0
         1         2    4.0000   -3.1035   -0.6501    0.0988    0.4003    0.9164    0.0019    3.9999    0.9998         0
% end

% time 2.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1390   -0.0365   -0.0731    0.9817    0.1874   -0.0338    3.9992    0.9985         0
         1         2    4.0000   -3.2855   -0.7371    0.0845    0.5174    0.8557   -0.0073    3.9999    0.9999         0
% end

% time 2.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3153    0.1705   -0.0285    0.9886    0.1463   -0.0344    4.0000    0.9999         0
         1         2    4.0000   -3.1923   -0.5575    0.1005    0.5564    0.8309   -0.0035    4.0000    1.0000         0
% end

% time 2.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1767    0.2810   -0.0019    0.9936    0.1005   -0.0521    4.0000    1.0000         0
         1         2    4.0000   -3.2918   -0.5271    0.0289    0.5723    0.8190    0.0408    4.0000    1.0000         0
% end

% time 3.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2200    0.2816   -0.0978    0.9650    0.2622    0.0042    3.9999    0.9999         0
         1         2    4.0000   -3.0388   -0.5609    0.0317    0.5568    0.8279    0.0672    3.9999    0.9999         0
% end

% time 3.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0250    0.3009   -0.0004    0.9894    0.1422    0.0294    4.0000    1.0000         0
         1         2    4.0000   -2.9779   -0.5801    0.0438    0.5992    0.8005    0.0137    3.9999    0.9999         0
% end

% time 3.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1266    0.3324    0.0052    0.9747    0.2176    0.0516    4.0000    1.0000         0
         1         2    4.0000   -2.9311   -0.7000    0.0986    0.7497    0.6618   -0.0007    4.0000    1.0000         0
% end

% time 3.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1317    0.4209    0.0938    0.9490    0.3152    0.0062    3.9999    0.9999         0
         1         2    4.0000   -2.8134   -0.6681    0.0260    0.8291    0.5585    0.0258    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0882    0.3369    0.1000    0.8989    0.4381   -0.0001    4.0000    1.0000         0
         1         2    4.0000   -2.8332   -0.7786    0.0999    0.8482    0.5297   -0.0000    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0224    0.3318    0.0998    0.8958    0.4445    0.0004    4.0000    1.0000         0
         1         2    4.0000   -2.8172   -0.7015    0.0996    0.8371    0.5471    0.0006    4.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1713    0.2925    0.1000    0.9480    0.3183   -0.0014    4.0000    0.9999         0
         1         2    4.0000   -2.8910   -0.9766   -0.0025    0.8171    0.5727   -0.0661    3.9999    0.9997         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0578    0.1610    0.1108    0.9644    0.2644   -0.0091    4.0000    1.0000         0
         1         2    4.0000   -2.8170   -0.7903   -0.0530    0.7557    0.6547   -0.0158    4.0000    0.9999         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1459    0.2848    0.0918    0.9424    0.3344    0.0085    3.9999    0.9999         0
         1         2    4.0000   -2.9465   -0.5831    0.1004    0.7039    0.7103    0.0002    4.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1155    0.2085    0.0833    0.9137    0.4061   -0.0126    4.0000    1.0000         0
         1         2    4.0000   -3.0233   -0.7253    0.1001    0.5114    0.8594    0.0002    4.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0331    0.2736    0.0047    0.9029    0.4288   -0.0300    4.0000    0.9999         0
         1         2    4.0000   -3.1926   -0.8909    0.0903    0.5280    0.8476    0.0518    3.9999    0.9999         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1738    0.1562    0.0302    0.9667    0.2534   -0.0360    3.9999    0.9999         0
         1         2    4.0000   -3.2357   -0.8475    0.0999    0.4214    0.9069    0.0009    4.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0975    0.2039   -0.0908    0.9743    0.2249   -0.0118    3.9998    0.9997         0
         1         2    4.0000   -3.2765   -0.7150    0.0997    0.5327    0.8463   -0.0011    4.0000    1.0000         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0886    0.2341    0.0633    0.9953    0.0932   -0.0259    3.9999    0.9997         0
         1         2    4.0000   -3.2940   -0.6797    0.0946    0.5695    0.8219    0.0110    3.9999    0.9997         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1376   -0.0211    0.0998    0.9985    0.0544    0.0005    3.9999    0.9999         0
         1         2    4.0000   -3.1670   -0.8727    0.1006    0.5852    0.8109   -0.0006    4.0000    1.0000         0
% end

% time 6.0050
% report fiber
