
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0445    0.2150   -0.0524    0.9982    0.0054    0.0604    3.9986    0.9976         0
         1         2    3.0000   -1.1309   -0.6150    0.1008   -0.6548    0.7558    0.0027    3.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0285    0.1163    0.0660    0.9987    0.0490   -0.0169    4.0000    1.0000         0
         1         2    3.0000   -1.0573   -0.6363    0.0471   -0.7185    0.6947   -0.0343    3.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0038    0.1309    0.0975    0.9982    0.0599    0.0024    4.0000    1.0000         0
         1         2    3.0000   -1.0413   -0.6024    0.1308   -0.8853    0.4640    0.0324    3.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0917    0.1906    0.0806    0.9984    0.0540   -0.0195    3.9999    0.9998         0
         1         2    3.0000   -0.8813   -0.5501   -0.0205   -0.8193    0.5672   -0.0845    3.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1774    0.1603    0.0958    0.9999    0.0108   -0.0103    4.0000    0.9999         0
         1         2    3.0000   -0.8867   -0.3817    0.0528   -0.6878    0.7249   -0.0391    3.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2547    0.2249    0.0576    0.9993   -0.0346   -0.0141    4.0000    0.9999         0
         1         2    3.0000   -0.8185   -0.4080    0.0200   -0.5788    0.8142   -0.0446    2.9999    0.9999         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0078    0.1319    0.0868    0.9998    0.0104    0.0143    3.9999    0.9998         0
