
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0145   -0.0850    0.0215    0.9981    0.0150   -0.0591    3.9997    0.9994         0
         1         2    2.0000    1.5555   -0.3231    0.0998   -0.0436    0.9990    0.0006    2.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1582   -0.0835   -0.0995    0.9993    0.0386   -0.0007    4.0000    1.0000         0
         1         2    2.0000    1.5053   -0.3462    0.0921   -0.1096    0.9939    0.0115    2.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2863   -0.1425   -0.1000    0.9999    0.0104    0.0012    4.0000    1.0000         0
         1         2    2.0000    1.3844   -0.3194    0.0048   -0.0665    0.9930   -0.0973    2.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3831   -0.3270   -0.0562    0.9964    0.0819   -0.0224    4.0000    1.0000         0
         1         2    2.0000    1.3312   -0.4919    0.0043    0.1940    0.9796    0.0533    2.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2771   -0.2562   -0.0549    0.9986    0.0276    0.0455    3.9995    0.9991         0
         1         2    2.0000    1.2162   -0.5053    0.0960    0.3419    0.9397   -0.0107    2.0000    0.9999         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2574   -0.3093   -0.0998    0.9952    0.0975    0.0008    4.0000    1.0000         0
