
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0870   -0.0098    0.0116    0.9984   -0.0215    0.0517    3.9996    0.9993         0
         1         2    2.0000   -0.1195   -0.9274    0.1000    0.0235    0.9997   -0.0001    2.0000    1.0000         0
% end

% time 0.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0164    0.0085   -0.0175    0.9990   -0.0216    0.0388    4.0000    1.0000         0
         1         2    2.0000   -0.1385   -0.8516    0.1100    0.1462    0.9890    0.0213    2.0000    1.0000         0
% end

% time 0.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1840   -0.1840   -0.1001    1.0000   -0.0066   -0.0003    4.0000    1.0000         0
         1         2    2.0000   -0.1197   -0.8413   -0.0247    0.0414    0.9954    0.0862    2.0000    1.0000         0
% end

% time 0.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2133   -0.3319   -0.0621    0.9765   -0.2129   -0.0342    3.9998    0.9996         0
         1         2    2.0000   -0.0799   -0.8805    0.0746   -0.0787    0.9959    0.0437    2.0000    1.0000         0
% end

% time 1.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0828   -0.2232   -0.0769    0.9730   -0.2305   -0.0062    3.9999    0.9999         0
         1         2    2.0000   -0.3398   -0.6809    0.1010   -0.0844    0.9964    0.0024    2.0000    1.0000         0
% end

% time 1.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1227   -0.3246   -0.0593    0.9309   -0.3643    0.0271    3.9999    0.9999         0
         1         2    2.0000   -0.1327   -0.6554   -0.0044   -0.0305    0.9967    0.0752    2.0000    1.0000         0
% end

% time 1.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0994   -0.1581   -0.0533    0.9315   -0.3628   -0.0253    4.0000    1.0000         0
         1         2    2.0000   -0.1205   -0.7107    0.0230   -0.1597    0.9866    0.0335    2.0000    1.0000         0
% end

% time 1.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2707    0.0806   -0.0336    0.9433   -0.3262    0.0618    3.9999    0.9999         0
         1         2    2.0000   -0.1520   -0.5334    0.1000   -0.5209    0.8536   -0.0001    2.0000    1.0000         0
% end

% time 1.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0760    0.2347   -0.1038    0.9201   -0.3918   -0.0027    4.0000    1.0000         0
         1         2    2.0000   -0.3326   -0.8041    0.0586   -0.5356    0.8431    0.0474    2.0000    1.0000         0
% end

% time 2.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2039    0.3981    0.0257    0.9578   -0.2871   -0.0165    4.0000    1.0000         0
         1         2    2.0000   -0.2827   -0.7393    0.1108   -0.7196    0.6943   -0.0140    2.0000    1.0000         0
% end

% time 2.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2501    0.4783    0.1000    0.9767   -0.2146   -0.0017    3.9999    0.9998         0
         1         2    2.0000   -0.3137   -0.8882   -0.1069   -0.8145    0.5801    0.0097    2.0000    1.0000         0
% end

% time 2.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3104    0.5228   -0.0100    0.9638   -0.2633    0.0429    4.0000    1.0000         0
         1         2    2.0000    0.0925   -0.9594   -0.0782   -0.9642    0.2633   -0.0305    2.0000    1.0000         0
% end

% time 2.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2296    0.4973    0.0139    0.9635   -0.2625   -0.0520    3.9999    0.9999         0
         1         2    2.0000   -0.0435   -0.9300    0.0308   -0.9212    0.3879    0.0311    2.0000    1.0000         0
% end

% time 2.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1681    0.6205   -0.1059    0.9502   -0.3117    0.0022    3.9999    0.9998         0
         1         2    2.0000    0.0902   -0.9266   -0.0134   -0.9275    0.3737    0.0101    2.0000    1.0000         0
% end

% time 3.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0982    0.7300   -0.1003    0.9395   -0.3425    0.0004    4.0000    1.0000         0
         1         2    2.0000    0.2543   -1.0430    0.1016   -0.8232    0.5678   -0.0043    2.0000    1.0000         0
% end

% time 3.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2605    0.6871   -0.1024    0.9359   -0.3523    0.0041    4.0000    1.0000         0
         1         2    2.0000    0.1133   -1.0019    0.0992   -0.8475    0.5308    0.0037    2.0000    1.0000         0
% end

% time 3.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2882    0.6274   -0.0793    0.8779   -0.4787   -0.0113    4.0000    0.9999         0
         1         2    2.0000    0.1995   -1.0556    0.1004   -0.7752    0.6317   -0.0001    2.0000    1.0000         0
% end

% time 3.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1700    0.8623   -0.0980    0.8546   -0.5193    0.0054    4.0000    1.0000         0
         1         2    2.0000    0.3593   -1.1258    0.0725   -0.8960    0.4429   -0.0321    2.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1548    0.6869   -0.1001    0.8089   -0.5879   -0.0002    4.0000    1.0000         0
         1         2    2.0000    0.5257   -0.8723    0.1100   -0.7200    0.6889   -0.0842    2.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2696    0.6973   -0.1323    0.7878   -0.6154   -0.0271    3.9999    0.9999         0
         1         2    2.0000    0.4999   -0.7455    0.0996   -0.6816    0.7318    0.0007    2.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3313    0.7579   -0.0896    0.7247   -0.6890    0.0123    3.9999    0.9999         0
         1         2    2.0000    0.5748   -0.7316    0.0022   -0.3626    0.9264    0.1009    2.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4351    0.7281    0.0426    0.7577   -0.6519    0.0302    4.0000    1.0000         0
         1         2    2.0000    0.5149   -0.8456    0.1269   -0.4865    0.8731   -0.0311    2.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2482    0.5982    0.0292    0.7068   -0.7061   -0.0432    3.9999    0.9999         0
         1         2    2.0000    0.2952   -1.0325   -0.0624   -0.5553    0.8310    0.0340    2.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2539    0.5731    0.1000    0.6287   -0.7777   -0.0002    4.0000    1.0000         0
